"US"	"2"	"Tumor Necrosis Factor Blocker [EPC]"	193127
"US"	"2"	"Nonsteroidal Anti-inflammatory Drug [EPC]"	118589
"US"	"2"	"Progestin [EPC]"	91896
"US"	"1"	"Tumor Necrosis Factor Blocker [EPC]"	74420
"US"	"1"	"Nonsteroidal Anti-inflammatory Drug [EPC]"	72606
"US"	"1"	"Thalidomide Analog [EPC]"	51103
"GB"	"2"	"Proton Pump Inhibitor [EPC]"	11144
"GB"	"2"	"Nonsteroidal Anti-inflammatory Drug [EPC]"	8847
"GB"	"2"	"Corticosteroid [EPC]"	7316
"GB"	"1"	"Proton Pump Inhibitor [EPC]"	9376
"GB"	"1"	"Nonsteroidal Anti-inflammatory Drug [EPC]"	8248
"GB"	"1"	"Corticosteroid [EPC]"	6546
"JP"	"2"	"Corticosteroid [EPC]"	5100
"JP"	"2"	"Nucleoside Analog Antiviral [EPC]"	2933
"JP"	"2"	"Loop Diuretic [EPC]"	2600
"JP"	"1"	"Corticosteroid [EPC]"	4748
"JP"	"1"	"Nucleoside Analog Antiviral [EPC]"	3419
"JP"	"1"	"Kinase Inhibitor [EPC]"	3270
"BR"	"2"	"Tumor Necrosis Factor Blocker [EPC]"	4892
"BR"	"2"	"Proton Pump Inhibitor [EPC]"	2073
"BR"	"2"	"Folate Analog Metabolic Inhibitor [EPC]"	1762
"BR"	"1"	"Tumor Necrosis Factor Blocker [EPC]"	1324
"BR"	"1"	"beta-Adrenergic Blocker [EPC]"	937
"BR"	"1"	"Proton Pump Inhibitor [EPC]"	770
