"US"	"2"	"DRUG INEFFECTIVE"	143205
"US"	"2"	"NAUSEA"	102055
"US"	"2"	"FATIGUE"	87675
"US"	"1"	"DRUG INEFFECTIVE"	82741
"US"	"1"	"DEATH"	52459
"US"	"1"	"FATIGUE"	47728
"GB"	"2"	"DEATH"	5692
"GB"	"2"	"MALAISE"	5190
"GB"	"2"	"FATIGUE"	4336
"GB"	"1"	"DEATH"	6704
"GB"	"1"	"MALAISE"	3237
"GB"	"1"	"DYSPNOEA"	2966
"JP"	"2"	"PYREXIA"	2850
"JP"	"2"	"ANAEMIA"	2153
"JP"	"2"	"PLATELET COUNT DECREASED"	2037
"JP"	"1"	"PYREXIA"	3045
"JP"	"1"	"INTERSTITIAL LUNG DISEASE"	2629
"JP"	"1"	"PLATELET COUNT DECREASED"	2400
"BR"	"2"	"DRUG INEFFECTIVE"	2739
"BR"	"2"	"PAIN"	2370
"BR"	"2"	"MALAISE"	2274
"BR"	"1"	"DRUG INEFFECTIVE"	1284
"BR"	"1"	"DEATH"	1166
"BR"	"1"	"OFF LABEL USE"	836
